k;dato;time;median k=17
17;2024-05-05;0;702,3286846268418
17;2024-05-05;1;663,6329184703136
17;2024-05-05;2;622,2616219870337
17;2024-05-05;3;610,2091422859513
17;2024-05-05;4;609,2731310338224
17;2024-05-05;5;667,1442667795023
17;2024-05-05;6;654,5393117163992
17;2024-05-05;7;630,4788659183569
17;2024-05-05;8;596,1930781771664
17;2024-05-05;9;551,5826725939684
17;2024-05-05;10;439,99360594581555
17;2024-05-05;11;414,0701050812011
17;2024-05-05;12;416,4661357388577
17;2024-05-05;13;395,1315037214056
17;2024-05-05;14;396,08621785775125
17;2024-05-05;15;403,5966784014781
17;2024-05-05;16;489,27772739065813
17;2024-05-05;17;596,1489832690845
17;2024-05-05;18;750,583043757672
17;2024-05-05;19;872,6744915655848
17;2024-05-05;20;940,7787937189782
17;2024-05-05;21;912,1201260934931
17;2024-05-05;22;813,0197535578474
17;2024-05-05;23;721,4645662061018
